Python1,,,,,,,,,,,,,,,
order_id,order_placement_date,customer_id,customer_name,city,product_id,product_name,category,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full,total_amount
FMR34203601,2025-03-01,789203,Rel Fresh,Vadodara,25891601,AM Tea 500,beverages,110,2025-03-04,2025-03-04,110,1,1,1,24750
FMR32320302,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891203,AM Butter 500,Dairy,347,2025-03-02,2025-03-02,347,1,1,1,273173.49450000003
FMR33320501,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891203,AM Butter 500,Dairy,187,2025-03-03,2025-03-03,150,0,1,0,147214.5345
FMR34220601,2025-03-01,789220,ShopRite,"New Jersey, US",25891203,AM Butter 500,Dairy,235,2025-03-04,2025-03-04,235,1,1,1,185002.2225
FMR33703603,2025-03-01,789703,Sorefoz Mart,Vadodara,25891203,AM Butter 500,Dairy,176,2025-03-03,2025-03-03,176,1,1,1,52800
FMR33721603,2025-03-01,789721,Logic Stores,Ahmedabad,25891203,AM Butter 500,Dairy,345,2025-03-03,2025-03-03,345,1,1,1,103500
FMR33420203,2025-03-01,789420,Lidl,"New Jersey, US",25891203,AM Butter 500,Dairy,138,2025-03-03,2025-03-06,138,1,0,0,108639.603
FMR34420402,2025-03-01,789420,Lidl,"New Jersey, US",25891203,AM Butter 500,Dairy,381,2025-03-04,2025-03-05,381,1,0,0,299939.7735
FMR32403401,2025-03-01,789403,Propel Mart,Vadodara,25891203,AM Butter 500,Dairy,348,2025-03-02,2025-03-02,348,1,1,1,104400
FMR34121203,2025-03-01,789121,Coolblue,Ahmedabad,25891203,AM Butter 500,Dairy,480,2025-03-04,2025-03-06,480,1,0,0,144000
FMR32501601,2025-03-01,789501,Best Market,"New Jersey, US",25891203,AM Butter 500,Dairy,478,2025-03-02,2025-03-02,478,1,1,1,376302.39300000004
FMR34501203,2025-03-01,789501,Best Market,"New Jersey, US",25891203,AM Butter 500,Dairy,491,2025-03-04,2025-03-04,491,1,1,1,386536.55850000004
FMR34102602,2025-03-01,789102,Vijay Stores,Ahmedabad,25891203,AM Butter 500,Dairy,407,2025-03-04,2025-03-04,387,0,1,0,122100
FMR33902203,2025-03-01,789902,Elite Mart,Ahmedabad,25891203,AM Butter 500,Dairy,299,2025-03-03,2025-03-03,299,1,1,1,89700
FMR34903603,2025-03-01,789903,Elite Mart,Vadodara,25891203,AM Butter 500,Dairy,329,2025-03-04,2025-03-04,329,1,1,1,98700
FMR32421203,2025-03-01,789421,Lotus Mart,Ahmedabad,25891203,AM Butter 500,Dairy,441,2025-03-02,2025-03-03,419,0,0,0,132300
FMR33421203,2025-03-01,789421,Lotus Mart,Ahmedabad,25891203,AM Butter 500,Dairy,104,2025-03-03,2025-03-06,99,0,0,0,31200
FMR33402203,2025-03-01,789402,Propel Mart,Ahmedabad,25891203,AM Butter 500,Dairy,491,2025-03-03,2025-03-05,491,1,0,0,147300
FMR33621603,2025-03-01,789621,Expert Mart,Ahmedabad,25891203,AM Butter 500,Dairy,138,2025-03-03,2025-03-03,138,1,1,1,41400
FMR34520301,2025-03-01,789520,Fairway Market,"New Jersey, US",25891203,AM Butter 500,Dairy,172,2025-03-04,2025-03-04,155,0,1,0,135405.882
FMR33702302,2025-03-01,789702,Sorefoz Mart,Ahmedabad,25891302,AM Ghee 150,Dairy,38,2025-03-03,2025-03-03,30,0,1,0,5130
FMR32320302,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891302,AM Ghee 150,Dairy,54,2025-03-02,2025-03-02,54,1,1,1,18893.844
FMR34603302,2025-03-01,789603,Info Stores,Vadodara,25891302,AM Ghee 150,Dairy,37,2025-03-04,2025-03-04,37,1,1,1,4995
FMR34721502,2025-03-01,789721,Logic Stores,Ahmedabad,25891302,AM Ghee 150,Dairy,63,2025-03-04,2025-03-05,60,0,0,0,8505
FMR33621302,2025-03-01,789621,Expert Mart,Ahmedabad,25891302,AM Ghee 150,Dairy,56,2025-03-03,2025-03-04,56,1,0,0,7560
FMR32520302,2025-03-01,789520,Fairway Market,"New Jersey, US",25891302,AM Ghee 150,Dairy,54,2025-03-02,2025-03-03,49,0,0,0,18893.844
FMR33520601,2025-03-01,789520,Fairway Market,"New Jersey, US",25891302,AM Ghee 150,Dairy,42,2025-03-03,2025-03-05,34,0,0,0,14695.212000000001
FMR34520302,2025-03-01,789520,Fairway Market,"New Jersey, US",25891302,AM Ghee 150,Dairy,23,2025-03-04,2025-03-05,22,0,0,0,8047.378000000001
FMR32420602,2025-03-01,789420,Lidl,"New Jersey, US",25891302,AM Ghee 150,Dairy,49,2025-03-02,2025-03-04,49,1,0,0,17144.414
FMR32902402,2025-03-01,789902,Elite Mart,Ahmedabad,25891302,AM Ghee 150,Dairy,70,2025-03-02,2025-03-02,70,1,1,1,9450
FMR32521302,2025-03-01,789521,Acclaimed Stores,Ahmedabad,25891302,AM Ghee 150,Dairy,34,2025-03-02,2025-03-03,34,1,0,0,4590
FMR32720302,2025-03-01,789720,Colonial Farms,"New Jersey, US",25891302,AM Ghee 150,Dairy,49,2025-03-02,2025-03-02,49,1,1,1,17144.414
FMR33401603,2025-03-01,789401,Wegmans,"New Jersey, US",25891302,AM Ghee 150,Dairy,40,2025-03-03,2025-03-03,40,1,1,1,13995.44
FMR33121302,2025-03-01,789121,Coolblue,Ahmedabad,25891302,AM Ghee 150,Dairy,26,2025-03-03,2025-03-03,26,1,1,1,3510
FMR32903403,2025-03-01,789903,Elite Mart,Vadodara,25891302,AM Ghee 150,Dairy,42,2025-03-02,2025-03-02,40,0,1,0,5670
FMR32422302,2025-03-01,789422,Lotus Mart,Vadodara,25891302,AM Ghee 150,Dairy,67,2025-03-02,2025-03-05,54,0,0,0,9045
FMR32301302,2025-03-01,789301,Foodtown,"New Jersey, US",25891302,AM Ghee 150,Dairy,29,2025-03-02,2025-03-05,29,1,0,0,10146.694000000001
FMR33721603,2025-03-01,789721,Logic Stores,Ahmedabad,25891301,AM Ghee 250,Dairy,59,2025-03-03,2025-03-03,59,1,1,1,13275
FMR32420403,2025-03-01,789420,Lidl,"New Jersey, US",25891301,AM Ghee 250,Dairy,87,2025-03-02,2025-03-02,87,1,1,1,45660.12300000001
FMR33420301,2025-03-01,789420,Lidl,"New Jersey, US",25891301,AM Ghee 250,Dairy,23,2025-03-03,2025-03-05,18,0,0,0,12071.067000000001
FMR33320501,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891301,AM Ghee 250,Dairy,46,2025-03-03,2025-03-03,46,1,1,1,24142.134000000002
FMR33122301,2025-03-01,789122,Coolblue,Vadodara,25891301,AM Ghee 250,Dairy,29,2025-03-03,2025-03-05,26,0,0,0,6525
FMR34101301,2025-03-01,789101,Costco Wholesale,"New Jersey, US",25891301,AM Ghee 250,Dairy,76,2025-03-04,2025-03-04,76,1,1,1,39887.00400000001
FMR33421301,2025-03-01,789421,Lotus Mart,Ahmedabad,25891301,AM Ghee 250,Dairy,75,2025-03-03,2025-03-05,67,0,0,0,16875
FMR34421301,2025-03-01,789421,Lotus Mart,Ahmedabad,25891301,AM Ghee 250,Dairy,47,2025-03-04,2025-03-04,45,0,1,0,10575
